   h    k    l      d (Å)      F(real)      F(imag)          |F|         2θ          I    M
   2    1   19   0.747011    72.327929     3.138946       72.396   37.95898    0.15064    6
   1    2  -19   0.747011    44.223478     0.819494      44.2311   37.95898    0.05623    6
   6    1   -7   0.746887    15.498982    -0.037581       15.499   37.96549    0.00690    6
   1    6    7   0.746887    15.520820    -0.035778      15.5209   37.96549    0.00692    6
   4    4    3   0.743937  -126.653856    -7.215690      126.859   38.12186    0.45820    6
   4    4   -3   0.743937     4.183227     3.626219      5.53614   38.12186    0.00087    6
   7    0    1   0.743351    41.003632     3.664338       41.167   38.15307    0.04816    6
   3    5    1   0.743351   -37.251027    -2.825339       37.358   38.15307    0.03966    6
   5    3   -1   0.743351   -25.210116    -1.826784      25.2762   38.15307    0.01816    6
   0    4   17   0.741722   -24.407753    -1.505024      24.4541   38.24010    0.01691    6
   2    2   18   0.741447  -107.260278    -6.976230      107.487   38.25486    0.32642    6
   2    2  -18   0.741447    57.553149     6.726513      57.9449   38.25486    0.09486    6
   0    7    2   0.740746   -23.330297    -2.691730      23.4851   38.29244    0.01555    6
   5    3    2   0.740746    38.935204     2.489934      39.0147   38.29244    0.04291    6
   3    5   -2   0.740746    28.071443     1.585864      28.1162   38.29244    0.02229    6
   2    0   20   0.735766    23.553972     1.373459       23.594   38.56186    0.01545    6
   6    1    8   0.733952    30.038435     1.566145      30.0792   38.66094    0.02497    6
   1    6   -8   0.733952    62.870711     4.323593      63.0192   38.66094    0.10962    6
   1    5  -13   0.733152    67.246354     2.881305      67.3081   38.70479    0.12473    6
   5    1   13   0.733152    45.568786     1.058707      45.5811   38.70479    0.05720    6
   4    2   14   0.732326    21.466248     1.167081       21.498   38.75020    0.01269    6
   2    4  -14   0.732326    13.965414     0.535717      13.9757   38.75020    0.00536    6
   5    3   -4   0.730595   -48.536508    -3.598703      48.6697   38.84568    0.06469    6
   3    5    4   0.730595   -32.761051    -2.267685      32.8394   38.84568    0.02945    6
   7    0    4   0.730595   -17.939670    -1.017166      17.9685   38.84568    0.00882    6
   0    0   21   0.730476   144.731473     9.744528      145.059   38.85226    0.19149    2
   4    3  -11   0.729806   -46.213041    -3.089679      46.3162   38.88935    0.05844    6
   3    4   11   0.729806    -1.501225     0.686872       1.6509   38.88935    0.00007    6
   0    7    5   0.723250   -26.950464    -1.349892      26.9842   39.25629    0.01943    6
   3    5   -5   0.723250    23.145143     2.920123      23.3286   39.25629    0.01452    6
   5    3    5   0.723250     7.291250     1.568780      7.45811   39.25629    0.00148    6
   6    2    1   0.721638   -23.007852    -1.759795      23.0751   39.34757    0.01413    6
   2    6   -1   0.721638     0.318230     0.232960     0.394387   39.34757    0.00000    6
   4    4    6   0.721385   118.376781    11.900942      118.974   39.36198    0.37543    6
   4    4   -6   0.721385    63.069354     2.867479      63.1345   39.36198    0.10572    6
   3    2  -17   0.720148   -29.764531    -1.959365       29.829   39.43237    0.02351    6
   2    3   17   0.720148   -52.535326    -3.908776      52.6805   39.43237    0.07332    6
   6    2   -2   0.719255     7.257169    -0.078711       7.2576   39.48338    0.00139    6
   2    6    2   0.719255    32.121386     2.052613      32.1869   39.48338    0.02729    6
   6    0   12   0.718252    57.774657     4.759885      57.9704   39.54082    0.08824    6
   0    6   12   0.718252    58.552217     4.826631      58.7508   39.54082    0.09063    6
   3    3   15   0.715928   -63.122090   -19.717960      66.1301   39.67450    0.11397    6
   3    3  -15   0.715928   -60.727858   -13.402523      62.1892   39.67450    0.10079    6
  -2   -1   20   0.714692    39.225302    31.042729      50.0227   39.74600    0.06495    6
   1   -1  -20   0.714692    15.430168     6.963836      16.9288   39.74600    0.00744    6
   1    5   14   0.711539    40.910828     2.855319      41.0103   39.92964    0.04321    6
   5    1  -14   0.711539    32.867496     2.158205      32.9383   39.92964    0.02787    6
   2    6   -4   0.709951   -53.687679    -4.109821      53.8448   40.02276    0.07410    6
   6    2    4   0.709951   -19.438103    -1.134587      19.4712   40.02276    0.00969    6
